CustomerName,Age,MaritalStatus,IncomeRange,Gender,TotalChildren,ChildrenAtHome,Education,Occupation,HomeOwner,Cars
Kartini Santoso,59,belum menikah,142960,perempuan,5,3,S1,skilled manual work,memiliki rumah sendiri,0
Putri Pratama,32,sudah menikah,96668,perempuan,3,0,S2,professional,tidak memiliki rumah sendiri,0
Siti Setiawan,41,belum menikah,53293,laki-laki,1,1,S3,skilled manual work,memiliki rumah sendiri,2
Wati Fauzan,50,belum menikah,90191,laki-laki,2,2,S3,skilled manual work,memiliki rumah sendiri,2
Zainab Hakim,18,sudah menikah,148047,perempuan,5,4,SMA,sales,memiliki rumah sendiri,3
Maya Muliawan,24,belum menikah,142495,laki-laki,2,2,S2,clerical work,memiliki rumah sendiri,3
Yusuf Sari,60,belum menikah,66571,perempuan,1,3,SMA,skilled manual work,memiliki rumah sendiri,2
Budi Pratama,18,sudah menikah,122742,laki-laki,5,2,S3,management,memiliki rumah sendiri,3
Zainab Hakim,55,belum menikah,72305,laki-laki,2,0,S1,professional,memiliki rumah sendiri,0
Maya Wibowo,53,sudah menikah,90241,laki-laki,4,1,Post-graduate,clerical work,tidak memiliki rumah sendiri,1
Maya Purnomo,42,belum menikah,23339,laki-laki,4,0,SMA,skilled manual work,tidak memiliki rumah sendiri,3
Eko Pratama,43,belum menikah,113298,laki-laki,0,1,Post-graduate,management,tidak memiliki rumah sendiri,1
Zainab Santoso,64,belum menikah,28501,perempuan,4,1,Post-graduate,unskilled manual work,tidak memiliki rumah sendiri,0
Putri Sari,60,sudah menikah,61028,perempuan,3,3,Post-graduate,unskilled manual work,tidak memiliki rumah sendiri,0
Kartini Pratama,23,belum menikah,124751,laki-laki,5,2,S1,unskilled manual work,memiliki rumah sendiri,2
Usman Wahyuni,18,sudah menikah,102219,laki-laki,0,5,SMA,clerical work,memiliki rumah sendiri,3
Yusuf Saputra,62,belum menikah,69688,laki-laki,0,0,S2,sales,memiliki rumah sendiri,2
Siti Haryanto,38,sudah menikah,71064,perempuan,1,0,S1,sales,memiliki rumah sendiri,1
Cahyadi Setiawan,52,belum menikah,90218,perempuan,1,0,S3,sales,tidak memiliki rumah sendiri,1
Joko Haryanto,31,belum menikah,131082,laki-laki,3,1,S1,skilled manual work,memiliki rumah sendiri,2
Budi Wahyuni,57,sudah menikah,59918,perempuan,5,0,S1,management,memiliki rumah sendiri,3
Usman Mahendra,26,belum menikah,74011,perempuan,4,0,S3,clerical work,memiliki rumah sendiri,0
Maya Mahendra,67,sudah menikah,140616,perempuan,4,3,S2,skilled manual work,tidak memiliki rumah sendiri,0
Usman Sari,48,belum menikah,129433,laki-laki,2,1,S2,clerical work,memiliki rumah sendiri,2
Yusuf Rachman,55,belum menikah,126034,laki-laki,5,0,SMA,clerical work,tidak memiliki rumah sendiri,1
Zainab Pratama,57,belum menikah,49468,perempuan,4,0,S2,skilled manual work,tidak memiliki rumah sendiri,0
Cahyadi Putra,21,sudah menikah,75295,laki-laki,2,5,Post-graduate,sales,tidak memiliki rumah sendiri,3
Taufik Muliawan,62,belum menikah,42104,perempuan,0,1,SMA,sales,memiliki rumah sendiri,2
Hadi Susanto,34,belum menikah,74016,laki-laki,5,3,S3,unskilled manual work,memiliki rumah sendiri,2
Hadi Hakim,42,belum menikah,61849,perempuan,2,2,SMA,management,memiliki rumah sendiri,2
Cahyadi Hakim,24,sudah menikah,62897,perempuan,2,0,S3,professional,memiliki rumah sendiri,0
Budi Anggraini,37,sudah menikah,39382,perempuan,1,5,S3,management,tidak memiliki rumah sendiri,1
Zainab Pratama,39,belum menikah,86654,laki-laki,3,0,SMA,sales,memiliki rumah sendiri,2
Vina Putra,49,belum menikah,117347,perempuan,3,2,S1,sales,memiliki rumah sendiri,0
Budi Wahyuni,41,sudah menikah,91617,laki-laki,4,0,S3,skilled manual work,tidak memiliki rumah sendiri,3
Agus Wahyuni,52,sudah menikah,30517,perempuan,3,1,Post-graduate,sales,tidak memiliki rumah sendiri,3
Zainab Santoso,25,belum menikah,55186,perempuan,2,2,S3,unskilled manual work,tidak memiliki rumah sendiri,3
Vina Setiawan,27,belum menikah,144262,perempuan,2,1,SMA,skilled manual work,memiliki rumah sendiri,2
Zainab Purnomo,34,sudah menikah,87674,perempuan,1,3,S1,unskilled manual work,tidak memiliki rumah sendiri,1
Rizki Sari,20,sudah menikah,50939,laki-laki,1,0,S3,management,tidak memiliki rumah sendiri,0
Fitri Muliawan,62,belum menikah,105228,perempuan,5,1,SMA,clerical work,memiliki rumah sendiri,0
Zainab Wibowo,50,sudah menikah,75308,laki-laki,4,1,S3,unskilled manual work,tidak memiliki rumah sendiri,1
Zainab Wijaya,40,belum menikah,32698,laki-laki,2,2,S1,management,memiliki rumah sendiri,3
Siti Setiawan,64,sudah menikah,88750,laki-laki,3,0,S1,professional,tidak memiliki rumah sendiri,1
Indra Setiawan,44,sudah menikah,146800,laki-laki,4,2,S3,management,tidak memiliki rumah sendiri,2
Rizki Saputra,33,sudah menikah,26954,laki-laki,0,0,S1,clerical work,tidak memiliki rumah sendiri,0
Hadi Sari,58,belum menikah,80448,laki-laki,1,1,S2,sales,memiliki rumah sendiri,2
Cahyadi Muliawan,36,sudah menikah,21890,perempuan,5,2,S2,skilled manual work,memiliki rumah sendiri,3
Vina Susanto,45,belum menikah,37945,laki-laki,5,4,S3,professional,memiliki rumah sendiri,0
Agus Rachman,61,sudah menikah,65097,laki-laki,1,0,S3,clerical work,memiliki rumah sendiri,1
Nina Sari,45,sudah menikah,147811,perempuan,4,0,SMA,sales,tidak memiliki rumah sendiri,2
Siti Wijaya,64,belum menikah,73660,laki-laki,4,3,Post-graduate,unskilled manual work,tidak memiliki rumah sendiri,3
Indra Purnomo,56,belum menikah,133336,laki-laki,3,3,S2,management,memiliki rumah sendiri,0
Usman Hakim,52,belum menikah,139486,perempuan,1,4,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,0
Indra Hidayat,27,sudah menikah,55778,perempuan,0,0,Post-graduate,professional,memiliki rumah sendiri,0
Hadi Rachman,69,belum menikah,90250,perempuan,5,4,S1,unskilled manual work,memiliki rumah sendiri,3
Rizki Muliawan,56,sudah menikah,40550,laki-laki,2,0,S3,unskilled manual work,tidak memiliki rumah sendiri,2
Fitri Wahyuni,33,belum menikah,118790,laki-laki,3,0,S2,unskilled manual work,memiliki rumah sendiri,0
Taufik Saputra,43,sudah menikah,80379,laki-laki,0,2,S2,professional,tidak memiliki rumah sendiri,2
Fitri Utomo,55,belum menikah,23464,perempuan,0,1,S3,sales,tidak memiliki rumah sendiri,0
Rizki Setiawan,26,sudah menikah,44554,laki-laki,1,3,S2,unskilled manual work,tidak memiliki rumah sendiri,0
Yusuf Susanto,69,sudah menikah,54581,laki-laki,2,0,S1,management,memiliki rumah sendiri,3
Maya Santoso,51,belum menikah,102061,laki-laki,3,2,Post-graduate,management,tidak memiliki rumah sendiri,2
Rizki Setiawan,32,belum menikah,91733,laki-laki,5,3,S3,management,memiliki rumah sendiri,0
Nina Purnomo,31,sudah menikah,28189,laki-laki,1,1,SMA,clerical work,tidak memiliki rumah sendiri,3
Maya Muliawan,58,sudah menikah,85719,laki-laki,0,0,SMA,professional,memiliki rumah sendiri,0
Cahyadi Wahyuni,25,belum menikah,58828,laki-laki,4,2,SMA,management,tidak memiliki rumah sendiri,1
Indra Saputra,33,belum menikah,147207,laki-laki,0,3,Post-graduate,management,memiliki rumah sendiri,2
Dewi Sari,34,sudah menikah,59520,perempuan,1,1,S3,sales,memiliki rumah sendiri,0
Siti Putra,53,sudah menikah,142282,perempuan,2,3,S2,clerical work,tidak memiliki rumah sendiri,3
Eko Utomo,65,sudah menikah,131149,laki-laki,2,3,S1,clerical work,memiliki rumah sendiri,1
Cahyadi Utomo,27,belum menikah,26422,perempuan,5,0,Post-graduate,management,memiliki rumah sendiri,0
Rizki Muliawan,57,belum menikah,47659,laki-laki,2,1,S1,sales,tidak memiliki rumah sendiri,0
Cahyadi Wijaya,28,sudah menikah,50530,laki-laki,5,0,SMA,skilled manual work,memiliki rumah sendiri,1
Siti Saputra,44,sudah menikah,143944,laki-laki,5,0,S2,skilled manual work,tidak memiliki rumah sendiri,3
Vina Hidayat,56,belum menikah,23495,perempuan,2,0,S2,clerical work,memiliki rumah sendiri,2
Taufik Haryanto,27,sudah menikah,103397,perempuan,3,1,Post-graduate,clerical work,tidak memiliki rumah sendiri,1
Gita Wibowo,33,belum menikah,109085,perempuan,0,1,SMA,clerical work,memiliki rumah sendiri,1
Yusuf Mahendra,53,sudah menikah,140846,perempuan,2,0,S1,unskilled manual work,tidak memiliki rumah sendiri,2
Taufik Santoso,60,belum menikah,97546,laki-laki,2,1,S1,management,tidak memiliki rumah sendiri,2
Dewi Haryanto,34,sudah menikah,45192,perempuan,3,0,SMA,sales,tidak memiliki rumah sendiri,2
Cahyadi Haryanto,43,belum menikah,91038,laki-laki,1,0,SMA,professional,memiliki rumah sendiri,2
Wati Wibowo,41,belum menikah,113822,perempuan,0,0,S1,professional,tidak memiliki rumah sendiri,2
Wati Putra,25,belum menikah,138193,laki-laki,4,3,Post-graduate,management,memiliki rumah sendiri,3
Lina Hidayat,45,belum menikah,143814,perempuan,0,0,S3,unskilled manual work,memiliki rumah sendiri,2
Gita Hidayat,31,belum menikah,128202,perempuan,1,0,S2,skilled manual work,tidak memiliki rumah sendiri,1
Siti Sari,25,belum menikah,59471,perempuan,4,1,Post-graduate,sales,tidak memiliki rumah sendiri,3
Eko Pratama,33,belum menikah,58347,perempuan,0,3,SMA,management,tidak memiliki rumah sendiri,2
Budi Susanto,33,belum menikah,53272,perempuan,5,0,SMA,unskilled manual work,memiliki rumah sendiri,1
Agus Rachman,65,sudah menikah,126619,perempuan,0,0,S1,clerical work,memiliki rumah sendiri,3
Budi Muliawan,30,sudah menikah,37803,laki-laki,3,1,Post-graduate,professional,memiliki rumah sendiri,0
Indra Santoso,19,sudah menikah,22431,perempuan,1,3,S1,professional,tidak memiliki rumah sendiri,0
Rizki Wibowo,69,sudah menikah,73421,perempuan,1,2,SMA,unskilled manual work,tidak memiliki rumah sendiri,2
Wati Setiawan,33,sudah menikah,112120,laki-laki,1,2,S2,unskilled manual work,tidak memiliki rumah sendiri,2
Putri Pratama,65,belum menikah,132796,laki-laki,4,1,S2,unskilled manual work,tidak memiliki rumah sendiri,0
Fitri Wijaya,24,sudah menikah,78158,perempuan,3,4,Post-graduate,skilled manual work,memiliki rumah sendiri,3
Zainab Pratama,31,belum menikah,53234,perempuan,5,1,S2,skilled manual work,memiliki rumah sendiri,0
Hadi Fauzan,65,sudah menikah,27363,perempuan,1,1,S2,sales,memiliki rumah sendiri,0
Lina Wahyuni,44,sudah menikah,93797,perempuan,0,1,Post-graduate,sales,memiliki rumah sendiri,1
Rizki Hakim,23,belum menikah,104604,laki-laki,4,4,S3,unskilled manual work,memiliki rumah sendiri,0
Rizki Utomo,22,belum menikah,95688,perempuan,4,4,SMA,unskilled manual work,memiliki rumah sendiri,0
Taufik Putra,49,sudah menikah,65263,laki-laki,5,3,SMA,professional,memiliki rumah sendiri,3
Taufik Hidayat,33,belum menikah,66634,perempuan,3,4,Post-graduate,management,tidak memiliki rumah sendiri,1
Taufik Anggraini,40,sudah menikah,25717,laki-laki,3,1,SMA,clerical work,tidak memiliki rumah sendiri,0
Lina Susanto,32,sudah menikah,52645,perempuan,0,2,Post-graduate,clerical work,memiliki rumah sendiri,0
Hadi Susanto,55,belum menikah,29828,perempuan,0,1,Post-graduate,unskilled manual work,tidak memiliki rumah sendiri,0
Siti Pratama,63,belum menikah,23404,laki-laki,0,2,SMA,sales,memiliki rumah sendiri,0
Putri Utomo,36,belum menikah,72511,laki-laki,5,1,SMA,sales,memiliki rumah sendiri,2
Dewi Muliawan,49,sudah menikah,104341,laki-laki,3,1,S1,professional,tidak memiliki rumah sendiri,0
Gita Setiawan,37,sudah menikah,145067,perempuan,1,1,S2,management,memiliki rumah sendiri,1
Putri Wijaya,22,belum menikah,79186,laki-laki,5,3,Post-graduate,management,tidak memiliki rumah sendiri,2
Hadi Muliawan,60,sudah menikah,69729,perempuan,2,1,S2,skilled manual work,memiliki rumah sendiri,3
Gita Fauzan,51,belum menikah,53594,laki-laki,1,2,Post-graduate,clerical work,memiliki rumah sendiri,0
Dewi Purnomo,53,sudah menikah,73644,laki-laki,3,0,S2,skilled manual work,tidak memiliki rumah sendiri,2
Fitri Wijaya,60,belum menikah,35384,perempuan,4,1,SMA,professional,tidak memiliki rumah sendiri,1
Wati Pratama,19,sudah menikah,109484,laki-laki,1,2,SMA,unskilled manual work,memiliki rumah sendiri,1
Joko Mahendra,37,belum menikah,65953,perempuan,1,0,Post-graduate,sales,tidak memiliki rumah sendiri,0
Putri Wahyuni,29,belum menikah,110270,perempuan,5,0,S2,clerical work,tidak memiliki rumah sendiri,2
Yusuf Hidayat,45,sudah menikah,54021,laki-laki,1,0,S3,sales,memiliki rumah sendiri,3
Zainab Susanto,63,sudah menikah,25027,perempuan,5,1,S1,clerical work,tidak memiliki rumah sendiri,3
Zainab Santoso,60,belum menikah,137506,laki-laki,0,2,S3,professional,memiliki rumah sendiri,1
Agus Muliawan,59,sudah menikah,90352,perempuan,5,5,SMA,management,tidak memiliki rumah sendiri,2
Indra Wahyuni,31,sudah menikah,71145,laki-laki,0,0,Post-graduate,management,memiliki rumah sendiri,1
Usman Wijaya,48,sudah menikah,108735,laki-laki,3,4,S3,skilled manual work,memiliki rumah sendiri,2
Lina Hakim,38,sudah menikah,61985,laki-laki,4,2,S1,sales,memiliki rumah sendiri,1
Cahyadi Mahendra,51,belum menikah,26905,laki-laki,1,0,S3,sales,memiliki rumah sendiri,1
Nina Wibowo,19,belum menikah,81395,perempuan,0,0,Post-graduate,management,memiliki rumah sendiri,2
Kartini Utomo,30,sudah menikah,43549,perempuan,3,1,S3,sales,memiliki rumah sendiri,0
Putri Susanto,68,sudah menikah,82117,laki-laki,0,1,SMA,professional,memiliki rumah sendiri,2
Indra Utomo,39,sudah menikah,83163,perempuan,3,5,S3,sales,tidak memiliki rumah sendiri,3
Cahyadi Purnomo,58,belum menikah,33204,perempuan,0,1,Post-graduate,professional,memiliki rumah sendiri,3
Vina Hidayat,46,sudah menikah,144030,perempuan,1,1,S3,professional,memiliki rumah sendiri,3
Kartini Hakim,60,sudah menikah,113410,laki-laki,5,0,Post-graduate,clerical work,tidak memiliki rumah sendiri,1
Cahyadi Haryanto,60,belum menikah,78350,laki-laki,0,2,S3,skilled manual work,memiliki rumah sendiri,1
Cahyadi Pratama,50,sudah menikah,143705,laki-laki,3,1,S1,clerical work,tidak memiliki rumah sendiri,2
Vina Putra,55,sudah menikah,85115,laki-laki,1,0,Post-graduate,clerical work,memiliki rumah sendiri,0
Gita Wibowo,38,belum menikah,87688,laki-laki,5,1,Post-graduate,clerical work,tidak memiliki rumah sendiri,3
Eko Rachman,55,belum menikah,59557,perempuan,2,0,S1,skilled manual work,tidak memiliki rumah sendiri,3
Eko Wijaya,23,belum menikah,105071,laki-laki,3,0,Post-graduate,professional,tidak memiliki rumah sendiri,0
Lina Saputra,53,sudah menikah,37351,perempuan,0,1,S2,management,tidak memiliki rumah sendiri,3
Rizki Fauzan,48,belum menikah,76712,perempuan,2,2,SMA,sales,memiliki rumah sendiri,2
Rizki Utomo,55,sudah menikah,122292,laki-laki,2,0,Post-graduate,professional,memiliki rumah sendiri,2
Siti Susanto,23,belum menikah,141129,perempuan,1,1,S2,clerical work,tidak memiliki rumah sendiri,2
Eko Susanto,66,belum menikah,25544,perempuan,2,0,SMA,skilled manual work,tidak memiliki rumah sendiri,3
Rizki Hakim,64,sudah menikah,65723,perempuan,4,1,S3,unskilled manual work,tidak memiliki rumah sendiri,1
Agus Haryanto,69,sudah menikah,86393,perempuan,3,0,S2,professional,memiliki rumah sendiri,2
Joko Wahyuni,59,sudah menikah,23773,laki-laki,1,2,S2,management,tidak memiliki rumah sendiri,0
Cahyadi Muliawan,51,sudah menikah,38961,laki-laki,0,4,SMA,clerical work,memiliki rumah sendiri,1
Siti Wahyuni,49,sudah menikah,128960,laki-laki,2,4,Post-graduate,sales,tidak memiliki rumah sendiri,2
Hadi Sari,25,sudah menikah,50821,perempuan,0,0,S3,clerical work,tidak memiliki rumah sendiri,2
Wati Mahendra,55,sudah menikah,36265,laki-laki,3,2,S2,sales,memiliki rumah sendiri,3
Taufik Muliawan,56,belum menikah,53496,laki-laki,0,0,SMA,clerical work,memiliki rumah sendiri,2
Lina Muliawan,55,belum menikah,147227,perempuan,2,4,S1,unskilled manual work,memiliki rumah sendiri,3
Usman Pratama,22,belum menikah,148647,perempuan,2,0,S1,clerical work,memiliki rumah sendiri,2
Putri Wibowo,61,sudah menikah,146349,laki-laki,5,2,S3,management,tidak memiliki rumah sendiri,3
Wati Wijaya,55,belum menikah,59961,laki-laki,1,4,S3,unskilled manual work,tidak memiliki rumah sendiri,0
Putri Anggraini,66,sudah menikah,116120,laki-laki,3,0,S3,management,memiliki rumah sendiri,3
Cahyadi Susanto,66,sudah menikah,35611,laki-laki,0,0,S2,unskilled manual work,tidak memiliki rumah sendiri,1
Maya Utomo,68,belum menikah,35383,laki-laki,3,1,Post-graduate,skilled manual work,memiliki rumah sendiri,1
Indra Wahyuni,44,sudah menikah,123618,laki-laki,0,2,Post-graduate,management,memiliki rumah sendiri,1
Maya Santoso,68,sudah menikah,43384,perempuan,0,4,S3,clerical work,tidak memiliki rumah sendiri,0
Rizki Wijaya,60,belum menikah,46504,perempuan,3,0,Post-graduate,clerical work,memiliki rumah sendiri,3
Agus Hakim,66,sudah menikah,84661,perempuan,0,3,SMA,management,memiliki rumah sendiri,3
Maya Hakim,28,sudah menikah,122113,perempuan,4,0,Post-graduate,professional,tidak memiliki rumah sendiri,2
Dewi Anggraini,47,sudah menikah,97301,perempuan,0,1,S3,management,tidak memiliki rumah sendiri,3
Hadi Haryanto,50,belum menikah,121931,laki-laki,3,1,S3,sales,tidak memiliki rumah sendiri,3
Lina Sari,33,sudah menikah,148230,laki-laki,5,0,S3,professional,memiliki rumah sendiri,0
Vina Setiawan,52,sudah menikah,80411,laki-laki,2,0,S1,sales,memiliki rumah sendiri,3
Zainab Santoso,59,belum menikah,90865,perempuan,3,2,S2,unskilled manual work,tidak memiliki rumah sendiri,3
Kartini Muliawan,58,sudah menikah,95810,laki-laki,0,0,SMA,clerical work,memiliki rumah sendiri,3
Kartini Hidayat,61,sudah menikah,44466,laki-laki,2,1,S1,clerical work,memiliki rumah sendiri,1
Maya Putra,55,belum menikah,59737,laki-laki,3,0,S1,clerical work,tidak memiliki rumah sendiri,2
Yusuf Sari,53,sudah menikah,106706,perempuan,5,0,SMA,clerical work,tidak memiliki rumah sendiri,2
Joko Setiawan,58,sudah menikah,86150,laki-laki,1,4,SMA,sales,tidak memiliki rumah sendiri,3
Cahyadi Rachman,30,sudah menikah,102239,laki-laki,2,0,S3,sales,tidak memiliki rumah sendiri,2
Dewi Santoso,38,sudah menikah,148329,laki-laki,4,0,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,2
Wati Utomo,67,sudah menikah,120758,laki-laki,1,1,SMA,sales,tidak memiliki rumah sendiri,3
Eko Utomo,24,belum menikah,66196,laki-laki,3,0,SMA,professional,tidak memiliki rumah sendiri,0
Vina Pratama,26,sudah menikah,75482,perempuan,2,0,S2,sales,memiliki rumah sendiri,3
Vina Wibowo,68,belum menikah,132723,laki-laki,5,1,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,2
Eko Setiawan,68,belum menikah,144244,perempuan,4,0,SMA,unskilled manual work,tidak memiliki rumah sendiri,0
Putri Sari,40,belum menikah,94904,perempuan,5,0,S3,unskilled manual work,tidak memiliki rumah sendiri,2
Indra Susanto,18,sudah menikah,61421,perempuan,2,0,S2,management,memiliki rumah sendiri,0
Nina Haryanto,60,belum menikah,77085,laki-laki,1,0,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,1
Maya Purnomo,20,belum menikah,52321,perempuan,3,1,S2,unskilled manual work,memiliki rumah sendiri,2
Fitri Mahendra,25,sudah menikah,138072,laki-laki,0,0,S1,skilled manual work,tidak memiliki rumah sendiri,0
Wati Anggraini,59,sudah menikah,67831,laki-laki,1,0,S3,sales,tidak memiliki rumah sendiri,1
Nina Santoso,59,sudah menikah,115685,laki-laki,3,0,SMA,skilled manual work,memiliki rumah sendiri,1
Nina Hakim,24,belum menikah,120115,perempuan,4,0,S2,unskilled manual work,tidak memiliki rumah sendiri,3
Wati Wibowo,47,sudah menikah,144072,laki-laki,4,0,S3,clerical work,memiliki rumah sendiri,1
Hadi Utomo,62,sudah menikah,114143,perempuan,1,2,S2,sales,tidak memiliki rumah sendiri,2
Agus Purnomo,64,sudah menikah,97884,perempuan,2,5,Post-graduate,sales,memiliki rumah sendiri,2
Lina Anggraini,43,sudah menikah,129871,laki-laki,2,0,S3,skilled manual work,memiliki rumah sendiri,1
Agus Haryanto,26,sudah menikah,93961,perempuan,1,0,S1,clerical work,tidak memiliki rumah sendiri,3
Hadi Susanto,44,sudah menikah,100508,laki-laki,3,2,S1,unskilled manual work,memiliki rumah sendiri,2
Fitri Anggraini,60,sudah menikah,133816,perempuan,0,5,SMA,clerical work,memiliki rumah sendiri,2
Vina Sari,51,sudah menikah,27024,perempuan,5,1,S1,skilled manual work,tidak memiliki rumah sendiri,1
Agus Putra,36,belum menikah,101374,laki-laki,3,0,S1,sales,memiliki rumah sendiri,2
Rizki Anggraini,61,belum menikah,113719,perempuan,3,0,SMA,skilled manual work,tidak memiliki rumah sendiri,1
Rizki Hidayat,51,belum menikah,40908,laki-laki,3,0,SMA,clerical work,memiliki rumah sendiri,0
Rizki Setiawan,31,sudah menikah,114881,perempuan,5,0,Post-graduate,unskilled manual work,tidak memiliki rumah sendiri,3
Rizki Pratama,50,sudah menikah,110745,perempuan,3,3,S1,sales,memiliki rumah sendiri,1
Kartini Sari,24,belum menikah,69175,laki-laki,4,1,S2,clerical work,tidak memiliki rumah sendiri,1
Rizki Susanto,58,sudah menikah,90221,perempuan,3,3,S3,skilled manual work,memiliki rumah sendiri,0
Joko Sari,53,sudah menikah,70853,perempuan,3,0,S2,management,tidak memiliki rumah sendiri,2
Siti Purnomo,62,sudah menikah,67655,laki-laki,2,2,S3,sales,tidak memiliki rumah sendiri,3
Lina Sari,44,belum menikah,55896,perempuan,5,1,S2,skilled manual work,tidak memiliki rumah sendiri,3
Budi Wijaya,63,sudah menikah,85333,perempuan,4,0,SMA,sales,tidak memiliki rumah sendiri,2
Indra Saputra,52,sudah menikah,41784,laki-laki,2,0,S1,unskilled manual work,memiliki rumah sendiri,2
Vina Setiawan,26,sudah menikah,118202,laki-laki,4,3,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,3
Wati Wahyuni,44,belum menikah,96460,laki-laki,3,3,S2,sales,tidak memiliki rumah sendiri,3
Usman Mahendra,60,belum menikah,125845,laki-laki,4,0,S2,sales,memiliki rumah sendiri,1
Yusuf Putra,50,sudah menikah,91832,laki-laki,0,1,S1,clerical work,memiliki rumah sendiri,3
Taufik Hakim,47,belum menikah,117604,laki-laki,0,3,SMA,sales,tidak memiliki rumah sendiri,0
Siti Haryanto,33,sudah menikah,117568,laki-laki,2,0,SMA,skilled manual work,tidak memiliki rumah sendiri,3
Zainab Setiawan,24,sudah menikah,96584,laki-laki,5,0,SMA,management,tidak memiliki rumah sendiri,0
Cahyadi Wibowo,28,belum menikah,42732,laki-laki,1,0,S1,skilled manual work,memiliki rumah sendiri,1
Eko Haryanto,53,belum menikah,65776,laki-laki,5,1,S1,management,memiliki rumah sendiri,1
Nina Sari,45,sudah menikah,128969,perempuan,3,1,S1,clerical work,memiliki rumah sendiri,3
Kartini Fauzan,39,belum menikah,68624,laki-laki,1,0,S2,management,tidak memiliki rumah sendiri,1
Zainab Fauzan,52,sudah menikah,81633,laki-laki,0,0,Post-graduate,professional,tidak memiliki rumah sendiri,2
Taufik Pratama,60,belum menikah,141004,perempuan,1,0,S3,skilled manual work,memiliki rumah sendiri,2
Nina Susanto,25,sudah menikah,23197,laki-laki,5,3,S2,unskilled manual work,memiliki rumah sendiri,2
Yusuf Purnomo,59,belum menikah,42018,laki-laki,1,3,Post-graduate,clerical work,tidak memiliki rumah sendiri,0
Rizki Wahyuni,68,belum menikah,33953,laki-laki,3,0,S2,professional,memiliki rumah sendiri,2
Fitri Mahendra,56,sudah menikah,37827,perempuan,3,0,Post-graduate,unskilled manual work,tidak memiliki rumah sendiri,2
Agus Saputra,35,belum menikah,46168,laki-laki,0,0,S2,skilled manual work,tidak memiliki rumah sendiri,3
Yusuf Mahendra,68,sudah menikah,50206,perempuan,4,1,S2,management,memiliki rumah sendiri,3
Putri Susanto,61,belum menikah,48138,laki-laki,0,0,S1,sales,tidak memiliki rumah sendiri,3
Usman Fauzan,47,belum menikah,60660,laki-laki,1,1,S2,sales,memiliki rumah sendiri,2
Yusuf Fauzan,30,belum menikah,130536,perempuan,2,3,Post-graduate,professional,memiliki rumah sendiri,0
Dewi Hidayat,23,sudah menikah,103793,perempuan,2,1,SMA,sales,memiliki rumah sendiri,2
Putri Susanto,67,belum menikah,99142,laki-laki,5,0,S3,sales,memiliki rumah sendiri,2
Dewi Mahendra,38,sudah menikah,111938,laki-laki,0,1,S3,skilled manual work,tidak memiliki rumah sendiri,2
Budi Hidayat,55,sudah menikah,81421,laki-laki,3,2,SMA,sales,tidak memiliki rumah sendiri,3
Siti Anggraini,30,belum menikah,51457,laki-laki,5,3,SMA,skilled manual work,tidak memiliki rumah sendiri,3
Joko Setiawan,25,belum menikah,22394,perempuan,4,0,S3,professional,tidak memiliki rumah sendiri,1
Taufik Purnomo,38,belum menikah,135883,perempuan,0,0,S2,professional,memiliki rumah sendiri,1
Joko Anggraini,54,belum menikah,76496,laki-laki,5,0,S3,management,tidak memiliki rumah sendiri,0
Vina Utomo,27,belum menikah,36267,perempuan,2,4,SMA,sales,memiliki rumah sendiri,3
Joko Hakim,51,sudah menikah,50557,perempuan,4,1,S3,professional,memiliki rumah sendiri,0
Zainab Mahendra,48,sudah menikah,109934,perempuan,3,3,S2,clerical work,tidak memiliki rumah sendiri,2
Cahyadi Sari,65,belum menikah,30850,laki-laki,0,3,Post-graduate,unskilled manual work,memiliki rumah sendiri,3
Dewi Haryanto,34,sudah menikah,119744,perempuan,3,3,S1,skilled manual work,memiliki rumah sendiri,1
Rizki Mahendra,37,sudah menikah,102862,laki-laki,3,0,S2,unskilled manual work,memiliki rumah sendiri,3
Siti Muliawan,66,sudah menikah,121004,perempuan,0,2,S3,clerical work,memiliki rumah sendiri,1
Usman Hidayat,25,sudah menikah,77539,laki-laki,5,3,Post-graduate,clerical work,tidak memiliki rumah sendiri,2
Rizki Wijaya,29,belum menikah,33887,perempuan,2,1,S2,skilled manual work,tidak memiliki rumah sendiri,1
Siti Haryanto,37,sudah menikah,89713,laki-laki,1,2,SMA,professional,tidak memiliki rumah sendiri,2
Gita Setiawan,47,belum menikah,94876,laki-laki,2,1,S3,skilled manual work,memiliki rumah sendiri,3
Budi Rachman,60,sudah menikah,86189,perempuan,5,1,Post-graduate,management,memiliki rumah sendiri,2
Indra Muliawan,27,sudah menikah,71527,laki-laki,2,0,S3,professional,tidak memiliki rumah sendiri,0
Wati Fauzan,55,belum menikah,54246,laki-laki,4,1,S2,unskilled manual work,tidak memiliki rumah sendiri,3
Maya Utomo,51,belum menikah,90601,laki-laki,4,1,S2,sales,tidak memiliki rumah sendiri,0
Hadi Anggraini,18,belum menikah,24891,laki-laki,1,2,SMA,clerical work,memiliki rumah sendiri,1
Usman Saputra,26,sudah menikah,111798,perempuan,5,2,SMA,unskilled manual work,tidak memiliki rumah sendiri,1
